Data e Hora,PM10,Dióxido de Nitrogênio,Ozônio,Dióxido de Enxofre,PM2.5,Monóxido de Carbono,Temperatura,Direção do Vento,Pressão Atmosférica,Precipitação,Velocidade do Vento,Radiação Solar,Umidade Relativa
2015-01-01 00:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-01 01:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-01 02:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-01 03:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-01 04:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-01 05:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-01 06:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-01 07:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-01 08:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-01 09:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-01 10:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-01 11:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-01 12:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-01 13:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-01 14:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-01 15:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-01 16:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-01 17:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-01 18:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-01 19:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-01 20:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-01 21:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-01 22:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-01 23:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-02 00:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-02 01:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-02 02:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-02 03:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-02 04:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-02 05:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-02 06:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-02 07:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-02 08:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-02 09:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-02 10:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-02 11:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-02 12:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-02 13:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-02 14:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-02 15:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-02 16:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-02 17:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-02 18:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-02 19:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-02 20:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-02 21:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-02 22:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-02 23:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-03 00:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-03 01:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-03 02:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-03 03:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-03 04:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-03 05:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-03 06:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-03 07:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-03 08:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-03 09:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-03 10:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-03 11:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-03 12:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-03 13:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-03 14:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-03 15:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-03 16:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-03 17:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-03 18:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-03 19:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-03 20:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-03 21:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-03 22:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-03 23:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-04 00:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-04 01:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-04 02:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-04 03:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-04 04:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-04 05:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-04 06:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-04 07:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-04 08:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-04 09:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-04 10:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-04 11:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-04 12:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-04 13:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-04 14:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-04 15:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-04 16:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-04 17:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-04 18:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-04 19:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-04 20:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-04 21:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-04 22:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-04 23:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-05 00:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-05 01:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-05 02:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-05 03:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-05 04:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-05 05:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-05 06:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-05 07:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-05 08:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-05 09:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-05 10:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-05 11:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-05 12:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-05 13:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-05 14:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-05 15:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-05 16:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-05 17:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-05 18:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-05 19:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-05 20:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-05 21:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-05 22:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-05 23:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-06 00:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-06 01:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-06 02:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-06 03:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-06 04:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-06 05:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-06 06:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-06 07:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-06 08:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-06 09:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-06 10:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-06 11:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-06 12:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-06 13:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-06 14:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-06 15:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-06 16:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-06 17:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-06 18:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-06 19:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-06 20:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-06 21:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-06 22:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-06 23:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-07 00:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-07 01:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-07 02:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-07 03:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-07 04:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-07 05:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-07 06:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-07 07:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-07 08:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-07 09:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-07 10:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-07 11:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-07 12:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-07 13:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-07 14:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-07 15:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-07 16:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-07 17:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-07 18:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-07 19:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-07 20:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-07 21:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-07 22:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-07 23:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-08 00:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-08 01:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-08 02:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-08 03:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-08 04:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-08 05:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-08 06:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-08 07:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-08 08:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-08 09:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-08 10:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-08 11:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-08 12:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-08 13:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-08 14:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-08 15:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-08 16:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-08 17:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-08 18:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-08 19:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-08 20:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-08 21:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-08 22:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-08 23:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-09 00:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-09 01:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-09 02:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-09 03:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-09 04:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-09 05:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-09 06:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-09 07:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-09 08:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-09 09:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-09 10:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-09 11:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-09 12:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-09 13:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-09 14:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-09 15:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-09 16:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-09 17:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-09 18:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-09 19:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-09 20:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-09 21:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-09 22:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-09 23:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-10 00:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-10 01:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-10 02:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-10 03:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-10 04:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-10 05:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-10 06:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-10 07:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-10 08:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-10 09:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-10 10:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-10 11:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-10 12:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-10 13:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-10 14:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-10 15:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-10 16:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-10 17:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-10 18:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-10 19:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-10 20:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-10 21:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-10 22:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-10 23:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-11 00:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-11 01:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-11 02:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-11 03:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-11 04:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-11 05:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-11 06:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-11 07:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-11 08:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-11 09:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-11 10:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-11 11:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-11 12:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-11 13:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-11 14:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-11 15:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-11 16:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-11 17:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-11 18:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-11 19:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-11 20:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-11 21:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-11 22:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-11 23:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-12 00:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-12 01:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-12 02:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-12 03:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-12 04:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-12 05:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-12 06:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-12 07:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-12 08:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-12 09:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-12 10:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-12 11:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-12 12:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-12 13:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-12 14:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-12 15:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-12 16:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-12 17:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-12 18:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-12 19:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-12 20:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-12 21:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-12 22:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-12 23:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-13 00:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-13 01:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-13 02:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-13 03:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-13 04:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-13 05:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-13 06:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-13 07:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-13 08:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-13 09:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-13 10:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-13 11:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-13 12:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-13 13:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-13 14:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-13 15:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-13 16:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-13 17:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-13 18:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-13 19:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-13 20:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-13 21:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-13 22:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-13 23:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-14 00:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-14 01:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-14 02:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-14 03:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-14 04:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-14 05:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-14 06:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-14 07:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-14 08:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-14 09:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-14 10:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-14 11:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-14 12:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-14 13:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-14 14:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-14 15:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-14 16:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-14 17:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-14 18:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-14 19:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-14 20:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-14 21:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-14 22:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-14 23:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-15 00:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-15 01:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-15 02:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-15 03:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-15 04:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-15 05:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-15 06:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-15 07:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-15 08:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-15 09:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-15 10:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-15 11:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-15 12:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-15 13:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-15 14:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-15 15:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-15 16:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-15 17:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-15 18:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-15 19:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-15 20:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-15 21:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-15 22:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-15 23:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-16 00:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-16 01:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-16 02:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-16 03:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
2015-01-16 04:30:00,,-999.0,-999.0,-999.0,,,,,,,,,
